10,10,510,5
10,565,510,5
10,10,5,210
515,10,5,210
10,215,100,5
420,215,100,5
110,215,5,50
415,215,5,50
10,260,100,5
420,260,100,5
10,315,100,5
420,315,100,5
110,315,5,50
415,315,5,50
10,360,100,5
420,360,100,5
10,360,5,210
515,360,5,210
65,65,50,5
65,110,50,5
65,70,5,40
110,70,5,40
165,65,50,5
165,110,50,5
165,70,5,40
210,70,5,40
315,65,50,5
315,110,50,5
315,70,5,40
360,70,5,40
415,65,50,5
415,110,50,5
415,70,5,40
460,70,5,40
262.5,15,5,100
262.5,165,5,50
262.5,365,5,50
262.5,465,5,50
162.5,465,5,50
112.5,415,5,50
162.5,315,5,50
162.5,165,5,100
362.5,465,5,50
412.5,415,5,50
362.5,315,5,50
312.5,265,5,50
212.5,265,5,50
362.5,165,5,100
65,162.5,50,5
215,162.5,100,5
415,162.5,50,5
165,212.5,50,5
315,212.5,50,5
215,312.5,100,5
215,362.5,100,5
65,412.5,50,5
165,412.5,50,5
315,412.5,50,5
415,412.5,50,5
15,462.5,50,5
215,462.5,100,5
465,462.5,50,5
65,512.5,150,5
315,512.5,150,5
